word,false_friend,definition
abide,no,"To remain, dwell or endure."
abideth,no,"Remains, endures."
albeit,no,"Although."
apparel,no,"Clothing, dress."
asunder,no,"Apart; into pieces."
beseech,no,"To beg earnestly."
besought,no,"Begged earnestly."
betwixt,no,"Between."
bewray,no,"To betray or reveal."
bottle,no,"A skin used to hold liquid, not glass."
bowels,yes,"The inward parts, seen as the seat of compassion and deep feeling."
brethren,no,"Brothers; fellow members of a community."
candle,no,"A lamp."
centurion,no,"A Roman officer commanding about a hundred soldiers."
charity,yes,"Love — the self-giving love of 1 Corinthians 13, not almsgiving."
chasteneth,no,"Corrects, disciplines."
chastening,no,"Correction and discipline given in love."
cleave,yes,"To cling fast to. Confusingly it can also mean to split apart."
cleaveth,yes,"Clings fast to."
comfort,yes,"To strengthen or encourage, not merely to console."
compassed,no,"Surrounded, encircled."
concupiscence,no,"Strong, disordered desire."
conversation,yes,"Conduct; the whole manner of a person's life, not speech."
corn,yes,"Grain of any kind — wheat or barley. Not maize."
countenance,no,"The face, or the expression upon it."
cubit,no,"A measure of about eighteen inches — elbow to fingertip."
durst,no,"Dared."
emerods,no,"Tumours or swellings."
ephod,no,"A priestly garment worn over the shoulders."
eschew,no,"To shun or deliberately avoid."
fain,no,"Gladly; willingly."
farthing,no,"A very small coin."
fetch,yes,"To bring, or to make a circuit around."
firmament,no,"The expanse of the sky."
fornication,no,"Sexual immorality."
fourscore,no,"Eighty (four times twenty)."
froward,no,"Perverse, wilfully contrary."
girded,no,"Bound about the waist, made ready for work or travel."
girdle,no,"A belt or sash worn about the waist."
graven,no,"Carved or engraved — as in a graven image."
haply,no,"Perhaps; by chance."
hither,no,"To this place; here."
hoar,no,"White or grey with age — ""hoar frost"", ""hoary head""."
holpen,no,"Helped."
howbeit,no,"Nevertheless; however."
husbandman,no,"A farmer."
insomuch,no,"To such a degree that."
instant,yes,"Urgent, persistent — ""instant in prayer"" means persevering."
kine,no,"Cattle; cows."
lasciviousness,no,"Unrestrained indulgence; sensuality."
laver,no,"The basin for ritual washing in the tabernacle."
lest,no,"For fear that; in case."
let,yes,"To hinder or restrain — the opposite of the modern sense."
letteth,yes,"Hinders, restrains."
longsuffering,no,"Patience under provocation; slowness to anger."
meat,yes,"Food of any kind, not flesh specifically."
mete,no,"To measure out."
mite,no,"The smallest coin in use; the widow's two mites."
murrain,no,"A plague or disease among cattle."
naughty,yes,"Worthless, good for nothing — far stronger than the modern word."
nay,no,"No; rather."
nigh,no,"Near."
notwithstanding,no,"In spite of that; nevertheless."
nought,no,"Nothing."
obeisance,no,"A bow or act of homage."
ought,no,"Anything at all. Also the sense of moral duty."
peculiar,yes,"Belonging especially to one owner; treasured, not odd."
penny,no,"A denarius — about a day's wage for a labourer."
peradventure,no,"Perhaps; it may be."
prevent,yes,"To go before, precede or anticipate — not to hinder."
privily,no,"Secretly, privately."
propitiation,no,"The turning away of wrath by an offering; atonement."
publican,no,"A tax collector for Rome, despised as a collaborator."
quick,yes,"Living, alive. ""The quick and the dead"" means the living and the dead."
quicken,yes,"To make alive, give life to."
quickened,yes,"Made alive."
raiment,no,"Clothing."
recompence,no,"Repayment; what is given in return."
rent,yes,"Torn, or a tear. Garments were ""rent"" in grief."
requite,no,"To repay or return in kind."
sackcloth,no,"Coarse dark cloth worn as a sign of mourning or repentance."
scrip,no,"A small bag or satchel for a journey."
selah,no,"A musical or liturgical pause in the Psalms; a call to reflect."
simple,yes,"Naive, easily led — lacking judgement rather than lacking intelligence."
sojourn,no,"To stay for a time as a foreigner."
sore,no,"Severely, greatly — ""sore afraid"" means greatly afraid."
sorely,no,"Severely, grievously."
straitly,no,"Strictly, closely."
suffer,yes,"To allow or permit. ""Suffer the little children"" means let them come."
suffered,yes,"Allowed, permitted."
sware,no,"Swore; made an oath."
tabernacle,no,"The portable tent of worship carried through the wilderness."
talent,no,"A large unit of weight and money — many years' wages."
tarry,no,"To wait, stay or delay."
thence,no,"From that place."
thither,no,"To that place; there."
threescore,no,"Sixty (three times twenty)."
threshingfloor,no,"The flat place where grain was separated from chaff."
thrice,no,"Three times."
twain,no,"Two."
unction,no,"An anointing."
vail,no,"Veil — the curtain screening the holy place."
verily,no,"Truly, certainly. Christ's ""verily, verily"" marks solemn emphasis."
vile,yes,"Of low value or lowly estate, not necessarily wicked."
ward,yes,"Custody or guard — a prison or the act of keeping watch."
wax,yes,"To grow or become. ""Wax old"" means grow old."
waxed,yes,"Grew, became."
whence,no,"From what place; from where."
wherefore,no,"For this reason; therefore. Also ""why?""."
whither,no,"To what place; where to."
wine,yes,"The fermented juice of the grape; sometimes simply the fresh juice."
winepress,no,"The trough where grapes were trodden for wine."
wist,no,"Knew."
withal,no,"With it; besides; at the same time."
wot,no,"To know. ""I wot not"" means I do not know."
wroth,no,"Angry."
yea,no,"Yes; indeed. Often introduces emphasis."
